文件名,表名,导入方式,文件类型,分隔符,是否必须,源接口名,目标接口名,场次,配置文件路径,UDS接收目录,,
EAAM_TELLER_AD0000000000,CBMS_TELLER_AD_REL_IMP,TRUNCATE,FIXLENGTH,,Y,EAA,MSC,9,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\aam\EDW_EAAM_TELLER_AD.xml,/snfs1/F-CBMS/target/MSC/EAA/009/
CASPSCXBXGSCPXX0000000000,CBMS_INSUCOM_PROD_PARM_IMP,TRUNCATE,FIXLENGTH,,Y,ASP,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\asps\CASPSCXBXGSCPXX0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
CASPSDGGRTJ0000000000,CBMS_INSU_INDVMOUNT_CTL,APPEND,FIXLENGTH,,N,ASP,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\asps\CASPSDGGRTJ0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
CASPSDQYWLTJ0000000000,CBMS_LIFEINSU_AREAMOUNT_CTL,APPEND,FIXLENGTH,,N,ASP,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\asps\CASPSDQYWLTJ0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
CASPSFEECY0000000000,CBMS_LIFEINSU_DIFFERENCE_CTL,APPEND,FIXLENGTH,,N,ASP,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\asps\CASPSFEECY0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
CASPSGRYWLTJ0000000000,CBMS_LIFEINSU_INDIVMOUNT_CTL,APPEND,FIXLENGTH,,N,ASP,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\asps\CASPSGRYWLTJ0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
CASPSNOWYWLTJ0000000000,CBMS_LIFEINSU_TOTALMOUNT_CTL,APPEND,FIXLENGTH,,N,ASP,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\asps\CASPSNOWYWLTJ0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
ZASPSTX0000000000,CBMS_LIFEINSU_REMIND_DTL,APPEND,FIXLENGTH,,Y,ASP,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\asps\ZASPSTX0000000000.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
ZASPSYWTZ,CBMS_INSURANCE_BUSI_DTL,APPEND,FIXLENGTH,null,Y,ASP,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\asps\ZASPSYWTZ.xml,/snfs1/F-CBMS/target/MSC/ASP/001/
BBC_BRANDGOLDSUM,CBMS_ISTUCOOP_BRANDGOLD_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_BRANDGOLDSUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
BBC_BUSISUM,CBMS_ISTUCOOP_TOTALRF_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_BUSISUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
BBC_BUSISUM1,CBMS_ISTUCOOP_TOTALRF1_IMP,APPEND,FIXLENGTH,,Y,BBS,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_BUSISUM1.xml,/snfs1/F-CBMS/target/MSC/BBS/002/
BBC_CBSTSUM,CBMS_ISTUCOOP_THIRDPART_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_CBSTSUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
BBC_COUNTERSUM,CBMS_ISTUCOOP_COUNTER_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_COUNTERSUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
BBC_ENDEFFECTDATE,CBMS_AGRMATUREM_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_ENDEFFECTDATE.xml,/snfs1/F-CBMS/target/MSC/BBC/001/
BBC_FESUM,CBMS_ISTUCOOP_WHBUS_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_FESUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
BBC_GOLDSUM,CBMS_ISTUCOOP_GOLD_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_GOLDSUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
BBC_RTCSSUM,CBMS_ISTUCOOP_RMBREMIT_IMP,APPEND,FIXLENGTH,,Y,BBC,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\BBC_RTCSSUM.xml,/snfs1/F-CBMS/target/MSC/BBC/002/
ZBBCPROTOCOL,CBMS_ISTUCOOP_AGREE_IMP,TRUNCATE,FIXLENGTH,,Y,BBC,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\ZBBCPROTOCOL.xml,/snfs1/F-CBMS/target/MSC/BBC/001/
ZBBCSUBPROCHAN,CBMS_ISTUCOOP_SUBPROD_IMP,TRUNCATE,FIXLENGTH,,Y,BBC,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bbc\ZBBCSUBPROTOCOL.xml,/snfs1/F-CBMS/target/MSC/BBC/001/
DAM_MSC_LINKCAMP_ACCTRX_R,CBMS_FM_LMTRADE_DTL,APPEND,SEPARATOR,27,Y,BDP,MSC,13,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bdp\DAM_MSC_LINKCAMP_ACCTRX_R.xml,/snfs1/F-CBMS/target/MSC/BDP/013/
BOM_CDPMAINFRAMEREL,CBMS_STRU_MFREL,TRUNCATE,FIXLENGTH,,Y,BOM,MSC,11,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bom\BOM_CDPMAINFRAMEREL.xml,/snfs1/F-CBMS/target/MSC/BOM/011/
BOM_ZDPSTRUINFO,CBMS_STRUINF,APPEND,FIXLENGTH,,Y,BOM,MSC,8,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bom\BOM_ZDPSTRUINFO.xml,/snfs1/F-CBMS/target/MSC/BOM/008/
BRANCH_ADD,CBMS_BRHOPRDATMOV_INFO,APPEND,SEPARATOR,44,N,,MSC,,50,SKIP,D:\config\imp_config\cbms\day\brch_adjust\BRANCH_ADD.xml,/snfs1/F-CBMS/target/MSC///
KFYXBQC,CBMS_BRHOPRDATMOV_INFO,APPEND,FIXLENGTH,,N,,msc,9,50,SKIP,D:\config\imp_config\cbms\day\brch_adjust\KFYXBQC.xml,/snfs1/F-CBMS/target/msc/009/
CAM_COMINGDAY_REPORT,CBMS_POSITION_REPORT_DTL,TRUNCATE,FIXLENGTH,,N,CAM,MSC,30,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_COMINGDAY_REPORT.xml,/snfs1/F-CBMS/target/MSC/CAM/030/
CAM_CONTROL_ACCOUNT,CBMS_SIGN_PAYCONTROL_LIST,TRUNCATE,FIXLENGTH,,N,CAM,MSC,33,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_CONTROL_ACCOUNT.xml,/snfs1/F-CBMS/target/MSC/CAM/033/
CAM_NTHFDSUBDETAIL,CBMS_DEPOSITBUS_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_NTHFDSUBDETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_OTHBNSUBDETAIL,CBMS_BNSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,41,50,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHBNSUBDETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/041/
CAM_OTHBNSUB_DETAIL,CBMS_BNSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHBNSUB_DETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_OTHCPSUBDETAIL,CBMS_CPSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,41,50,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHCPSUBDETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/041/
CAM_OTHCPSUB_DETAIL,CBMS_CPSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHCPSUB_DETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_PNPROTOCOLQUERY,CBMS_BILLAGREE_DTL,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_PNPROTOCOLQUERY.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_POOLPROTOCOLDUEREMIND,CBMS_AGRMATUREM_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_POOLPROTOCOLDUEREMIND.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_POSITION_REPORT,CBMS_POSITION_REPORT_INF,TRUNCATE,FIXLENGTH,,N,CAM,MSC,30,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_POSITION_REPORT.xml,/snfs1/F-CBMS/target/MSC/CAM/030/
CAM_RISK_REPORT,CBMS_RISK_REPORT_INF,TRUNCATE,FIXLENGTH,,N,CAM,MSC,30,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_RISK_REPORT.xml,/snfs1/F-CBMS/target/MSC/CAM/030/
CAP_PRM_PRODUCT,CBMS_PRM_PRODUCT_IMP,TRUNCATE,FIXLENGTH,,Y,IRA,MSC,3,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cap\CAP_PRM_PRODUCT.xml,/snfs1/F-CBMS/target/MSC/IRA/003/
CUST_CAP_TX_INFO,CBMS_CUSTCAP_TX_IMP,APPEND,SEPARATOR,27,Y,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\CUST_CAP_TX_INFO.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
